Source,Target
1,192
1,189
1,174
1,233
1,178
1,170
2,175
2,179
2,193
2,182
2,184
2,185
2,172
3,175
3,193
3,183
4,175
4,193
4,183
5,190
5,177
5,229
6,183
7,175
7,179
7,193
7,184
7,185
7,172
7,183
8,193
8,179
9,183
9,176
10,179
10,193
10,185
10,172
11,179
11,193
11,185
11,172
12,179
12,193
12,185
12,172
12,186
13,179
13,193
13,185
13,172
13,186
13,177
13,229
14,179
14,193
14,185
14,172
14,186
15,176
15,170
15,183
15,229
16,179
16,193
16,185
16,172
16,186
16,177
16,229
17,176
17,183
17,182
18,193
18,191
18,177
18,229
19,193
19,191
19,183
19,179
19,192
19,185
19,172
19,175
20,192
20,189
21,186
21,180
21,191
22,179
22,193
22,183
22,185
22,172
22,186
22,180
22,192
22,188
22,181
22,235
22,236
22,237
22,238
23,175
23,193
24,179
24,193
24,183
24,185
24,172
24,186
24,180
24,192
24,188
24,181
24,191
25,179
25,193
25,183
25,185
25,172
25,186
25,180
25,188
25,181
25,176
26,179
26,193
26,183
26,185
26,172
26,186
26,180
26,188
26,181
27,179
27,193
27,183
27,185
27,172
27,186
27,180
27,188
27,181
27,190
28,179
28,193
28,183
28,185
28,172
28,186
28,180
28,188
28,181
29,179
29,193
29,183
29,185
29,172
29,186
29,180
29,188
29,181
29,176
29,225
30,179
30,193
30,185
30,172
30,186
30,180
30,188
30,181
30,187
31,179
31,193
31,185
31,172
31,186
31,180
31,188
31,181
31,187
31,171
31,173
32,193
32,171
33,179
33,193
33,185
33,172
33,186
33,180
33,188
33,181
34,179
34,193
34,185
34,172
34,186
34,180
34,188
34,181
34,182
34,199
35,179
35,193
35,185
35,172
35,186
35,180
35,188
35,181
35,182
35,199
36,179
36,193
36,185
36,172
36,186
36,180
36,188
36,181
36,182
36,199
37,179
37,193
37,185
37,172
37,186
37,188
37,181
38,183
38,225
39,179
39,193
40,179
40,193
40,190
41,185
41,172
41,199
41,212
41,196
41,200
41,227
42,186
42,181
42,188
43,176
43,170
43,202
43,211
43,207
44,210
44,205
45,201
45,205
45,210
45,204
45,197
46,186
46,181
46,188
47,185
47,172
47,199
47,212
47,196
47,200
47,227
47,210
48,186
48,181
48,188
48,210
49,185
49,172
49,212
49,226
50,185
50,172
50,226
51,179
51,193
51,190
51,233
52,186
52,181
52,188
52,183
53,185
53,172
53,226
54,179
54,193
54,190
55,185
55,172
55,226
56,186
56,181
56,188
56,201
56,183
56,204
56,197
56,206
56,198
56,176
57,186
57,181
57,188
57,201
57,183
57,204
58,186
58,181
58,188
58,201
58,183
58,204
59,186
59,181
59,188
59,201
59,183
59,204
59,206
60,201
60,186
61,176
61,197
62,201
62,186
63,179
63,193
63,190
64,179
64,193
64,190
65,179
65,193
65,190
66,179
66,193
66,190
66,213
67,186
67,188
67,201
67,204
68,201
68,186
69,186
69,191
70,186
70,181
70,188
70,201
70,204
70,206
70,198
70,195
71,202
71,211
71,207
71,201
71,204
71,188
72,176
72,197
72,185
72,172
72,226
73,186
73,191
74,191
74,192
74,186
75,171
75,192
76,179
76,193
76,213
76,194
77,180
77,213
78,179
78,193
78,213
78,190
79,186
79,188
79,181
79,201
79,204
79,206
79,198
80,185
80,172
80,226
81,186
81,188
81,181
81,201
82,204
82,198
83,185
83,172
83,226
84,186
84,203
84,181
84,188
84,187
84,204
85,186
85,206
85,181
85,188
85,187
85,204
85,198
86,185
86,172
86,226
87,186
87,206
87,181
87,188
87,187
87,204
87,198
88,185
88,172
88,226
89,186
89,206
89,181
89,188
89,187
89,204
89,198
90,185
90,172
90,226
91,179
91,193
91,213
91,194
92,185
92,172
92,226
93,179
93,193
93,213
93,194
93,177
93,229
94,186
94,181
94,188
94,204
94,198
94,183
94,210
95,185
95,172
95,226
95,176
96,179
96,193
96,213
96,194
96,177
96,229
97,186
97,181
97,188
97,204
97,198
97,183
97,210
98,185
98,172
98,226
98,176
98,197
99,179
99,193
99,213
99,190
100,186
100,181
100,188
100,204
100,198
100,183
100,210
101,179
101,193
101,190
102,190
102,217
103,179
103,193
103,190
104,186
104,181
104,188
104,204
104,198
104,183
104,210
104,185
104,172
104,226
104,176
105,186
105,181
105,188
105,204
105,198
105,183
105,210
105,185
105,172
105,226
105,176
105,197
106,186
106,181
106,188
106,204
106,198
106,183
106,210
106,185
106,172
107,179
107,193
107,190
108,186
108,201
109,186
109,181
109,183
109,185
109,172
109,204
109,188
110,186
110,191
110,214
110,192
111,192
111,191
112,183
112,172
112,208
113,179
113,193
113,190
114,183
114,172
115,179
115,193
115,190
115,177
116,179
116,193
116,190
116,177
117,213
117,194
117,220
118,172
118,183
119,186
119,181
119,188
119,204
119,198
119,183
119,210
119,185
120,213
120,194
120,220
120,183
120,240
121,213
121,194
121,220
121,183
121,240
121,208
122,179
122,193
122,190
123,172
123,213
124,172
124,213
124,208
125,179
125,193
125,190
126,213
126,220
127,204
127,198
127,181
127,188
127,210
127,186
127,221
127,201
127,185
128,186
128,192
128,204
129,186
129,181
129,188
129,204
129,210
129,201
130,204
130,201
131,186
131,181
131,188
132,204
132,210
132,201
132,185
133,186
133,181
133,188
133,223
134,220
134,213
134,240
134,172
134,208
134,183
134,177
134,229
134,239
134,241
135,186
135,181
135,188
135,223
136,179
136,193
136,190
136,228
137,183
137,172
138,183
138,172
138,208
138,213
139,179
139,193
139,190
139,228
140,183
140,172
140,208
140,213
140,177
141,183
141,172
141,208
141,213
141,177
142,204
142,210
142,201
142,185
142,198
142,221
142,220
143,183
143,172
143,208
143,213
144,204
144,210
144,201
144,185
144,198
144,221
144,220
145,183
145,172
146,204
146,201
146,185
146,177
146,232
147,186
147,181
147,188
147,223
147,239
147,241
148,204
